01101,日本,北海道,札幌市中央区
01102,日本,北海道,札幌市北区
01103,日本,北海道,札幌市東区
01104,日本,北海道,札幌市白石区
01105,日本,北海道,札幌市豊平区
01106,日本,北海道,札幌市南区
01107,日本,北海道,札幌市西区
01108,日本,北海道,札幌市厚別区
01109,日本,北海道,札幌市手稲区
01110,日本,北海道,札幌市清田区
01202,日本,北海道,函館市
01203,日本,北海道,小樽市
01204,日本,北海道,旭川市
01205,日本,北海道,室蘭市
01206,日本,北海道,釧路市
01207,日本,北海道,帯広市
01208,日本,北海道,北見市
01209,日本,北海道,夕張市
01210,日本,北海道,岩見沢市
01211,日本,北海道,網走市
01212,日本,北海道,留萌市
01213,日本,北海道,苫小牧市
01214,日本,北海道,稚内市
01215,日本,北海道,美唄市
01216,日本,北海道,芦別市
01217,日本,北海道,江別市
01218,日本,北海道,赤平市
01219,日本,北海道,紋別市
01220,日本,北海道,士別市
01221,日本,北海道,名寄市
01222,日本,北海道,三笠市
01223,日本,北海道,根室市
01224,日本,北海道,千歳市
01225,日本,北海道,滝川市
01226,日本,北海道,砂川市
01227,日本,北海道,歌志内市
01228,日本,北海道,深川市
01229,日本,北海道,富良野市
01230,日本,北海道,登別市
01231,日本,北海道,恵庭市
01233,日本,北海道,伊達市
01234,日本,北海道,北広島市
01235,日本,北海道,石狩市
01236,日本,北海道,北斗市
01303,日本,北海道,石狩振興局当別町
01304,日本,北海道,石狩振興局新篠津村
01331,日本,北海道,渡島総合振興局松前町
01332,日本,北海道,渡島総合振興局福島町
01333,日本,北海道,渡島総合振興局知内町
01334,日本,北海道,渡島総合振興局木古内町
01337,日本,北海道,渡島総合振興局七飯町
01343,日本,北海道,渡島総合振興局鹿部町
01345,日本,北海道,渡島総合振興局森町
01346,日本,北海道,渡島総合振興局八雲町
01347,日本,北海道,渡島総合振興局長万部町
01361,日本,北海道,檜山振興局江差町
01362,日本,北海道,檜山振興局上ノ国町
01363,日本,北海道,檜山振興局厚沢部町
01364,日本,北海道,檜山振興局乙部町
01367,日本,北海道,檜山振興局奥尻町
01370,日本,北海道,檜山振興局今金町
01371,日本,北海道,檜山振興局せたな町
01391,日本,北海道,後志総合振興局島牧村
01392,日本,北海道,後志総合振興局寿都町
01393,日本,北海道,後志総合振興局黒松内町
01394,日本,北海道,後志総合振興局蘭越町
01395,日本,北海道,後志総合振興局ニセコ町
01396,日本,北海道,後志総合振興局真狩村
01397,日本,北海道,後志総合振興局留寿都村
01398,日本,北海道,後志総合振興局喜茂別町
01399,日本,北海道,後志総合振興局京極町
01400,日本,北海道,後志総合振興局倶知安町
01401,日本,北海道,後志総合振興局共和町
01402,日本,北海道,後志総合振興局岩内町
01403,日本,北海道,後志総合振興局泊村
01404,日本,北海道,後志総合振興局神恵内村
01405,日本,北海道,後志総合振興局積丹町
01406,日本,北海道,後志総合振興局古平町
01407,日本,北海道,後志総合振興局仁木町
01408,日本,北海道,後志総合振興局余市町
01409,日本,北海道,後志総合振興局赤井川村
01423,日本,北海道,空知総合振興局南幌町
01424,日本,北海道,空知総合振興局奈井江町
01425,日本,北海道,空知総合振興局上砂川町
01427,日本,北海道,空知総合振興局由仁町
01428,日本,北海道,空知総合振興局長沼町
01429,日本,北海道,空知総合振興局栗山町
01430,日本,北海道,空知総合振興局月形町
01431,日本,北海道,空知総合振興局浦臼町
01432,日本,北海道,空知総合振興局新十津川町
01433,日本,北海道,空知総合振興局妹背牛町
01434,日本,北海道,空知総合振興局秩父別町
01436,日本,北海道,空知総合振興局雨竜町
01437,日本,北海道,空知総合振興局北竜町
01438,日本,北海道,空知総合振興局沼田町
01452,日本,北海道,上川総合振興局鷹栖町
01453,日本,北海道,上川総合振興局東神楽町
01454,日本,北海道,上川総合振興局当麻町
01455,日本,北海道,上川総合振興局比布町
01456,日本,北海道,上川総合振興局愛別町
01457,日本,北海道,上川総合振興局上川町
01458,日本,北海道,上川総合振興局東川町
01459,日本,北海道,上川総合振興局美瑛町
01460,日本,北海道,上川総合振興局上富良野町
01461,日本,北海道,上川総合振興局中富良野町
01462,日本,北海道,上川総合振興局南富良野町
01463,日本,北海道,上川総合振興局占冠村
01464,日本,北海道,上川総合振興局和寒町
01465,日本,北海道,上川総合振興局剣淵町
01468,日本,北海道,上川総合振興局下川町
01469,日本,北海道,上川総合振興局美深町
01470,日本,北海道,上川総合振興局音威子府村
01471,日本,北海道,上川総合振興局中川町
01472,日本,北海道,上川総合振興局幌加内町
01481,日本,北海道,留萌振興局増毛町
01482,日本,北海道,留萌振興局小平町
01483,日本,北海道,留萌振興局苫前町
01484,日本,北海道,留萌振興局羽幌町
01485,日本,北海道,留萌振興局初山別村
01486,日本,北海道,留萌振興局遠別町
01487,日本,北海道,留萌振興局天塩町
01511,日本,北海道,宗谷総合振興局猿払村
01512,日本,北海道,宗谷総合振興局浜頓別町
01513,日本,北海道,宗谷総合振興局中頓別町
01514,日本,北海道,宗谷総合振興局枝幸町
01516,日本,北海道,宗谷総合振興局豊富町
01517,日本,北海道,宗谷総合振興局礼文町
01518,日本,北海道,宗谷総合振興局利尻町
01519,日本,北海道,宗谷総合振興局利尻富士町
01520,日本,北海道,宗谷総合振興局幌延町
01543,日本,北海道,オホーツク総合振興局美幌町
01544,日本,北海道,オホーツク総合振興局津別町
01545,日本,北海道,オホーツク総合振興局斜里町
01546,日本,北海道,オホーツク総合振興局清里町
01547,日本,北海道,オホーツク総合振興局小清水町
01549,日本,北海道,オホーツク総合振興局訓子府町
01550,日本,北海道,オホーツク総合振興局置戸町
01552,日本,北海道,オホーツク総合振興局佐呂間町
01555,日本,北海道,オホーツク総合振興局遠軽町
01559,日本,北海道,オホーツク総合振興局湧別町
01560,日本,北海道,オホーツク総合振興局滝上町
01561,日本,北海道,オホーツク総合振興局興部町
01562,日本,北海道,オホーツク総合振興局西興部村
01563,日本,北海道,オホーツク総合振興局雄武町
01564,日本,北海道,オホーツク総合振興局大空町
01571,日本,北海道,胆振総合振興局豊浦町
01575,日本,北海道,胆振総合振興局壮瞥町
01578,日本,北海道,胆振総合振興局白老町
01581,日本,北海道,胆振総合振興局厚真町
01584,日本,北海道,胆振総合振興局洞爺湖町
01585,日本,北海道,胆振総合振興局安平町
01586,日本,北海道,胆振総合振興局むかわ町
01601,日本,北海道,日高振興局日高町
